wl,n,k
0.2091,1.143,2.882
0.2087,1.134,2.876
0.2084,1.125,2.87
0.208,1.117,2.863
0.2077,1.109,2.857
0.2073,1.102,2.85
0.207,1.094,2.843
0.2066,1.087,2.837
0.2063,1.08,2.83
0.206,1.074,2.823
0.2056,1.067,2.816
0.2053,1.061,2.809
0.2049,1.056,2.802
0.2046,1.05,2.796
0.2043,1.045,2.789
0.2039,1.039,2.783
0.2036,1.034,2.777
0.2033,1.03,2.77
0.2029,1.025,2.763
0.2026,1.021,2.757
0.2023,1.016,2.752
0.2019,1.012,2.746
0.2016,1.008,2.74
0.2013,1.004,2.734
0.2009,1.0,2.729
0.2006,0.9964,2.724
0.2003,0.9925,2.719
0.2,0.9888,2.713
0.1997,0.9851,2.708
0.1993,0.9814,2.704
0.199,0.9779,2.699
0.1987,0.9741,2.695
0.1984,0.9705,2.69
0.1981,0.9668,2.686
0.1977,0.9633,2.681
0.1974,0.9598,2.676
0.1971,0.956,2.673
0.1968,0.9523,2.669
0.1965,0.9487,2.665
0.1962,0.945,2.661
0.1959,0.9414,2.657
0.1956,0.9377,2.653
0.1953,0.934,2.649
0.1949,0.9302,2.646
0.1946,0.9265,2.642
0.1943,0.9228,2.638
0.194,0.9189,2.635
0.1937,0.9152,2.631
0.1934,0.9113,2.628
0.1931,0.9074,2.624
0.1928,0.9035,2.621
0.1925,0.8998,2.617
0.1922,0.8958,2.614
0.1919,0.8918,2.611
0.1916,0.888,2.607
0.1913,0.884,2.604
0.191,0.88,2.601
0.1907,0.876,2.598
0.1905,0.872,2.595
0.1902,0.8679,2.592
0.1899,0.864,2.588
0.1896,0.8598,2.585
0.1893,0.8558,2.582
0.189,0.8518,2.579
0.1887,0.8475,2.576
0.1884,0.8434,2.573
0.1881,0.8394,2.57
0.1879,0.8351,2.567
