wl,n,k
0.95373,2.3768,5.6562
0.95001,2.3714,5.6397
0.94629,2.366,5.6233
0.94259,2.3606,5.607
0.93891,2.3552,5.5907
0.93524,2.3498,5.5745
0.93159,2.3444,5.5583
0.92795,2.339,5.5422
0.92432,2.3336,5.5262
0.92071,2.3283,5.5102
0.91711,2.3229,5.4943
0.91352,2.3175,5.4784
0.90995,2.3122,5.4626
0.9064,2.3068,5.4468
0.90285,2.3014,5.4311
0.89933,2.2961,5.4155
0.89581,2.2907,5.3999
0.89231,2.2854,5.3843
0.88882,2.2801,5.3688
0.88535,2.2747,5.3534
0.88189,2.2694,5.338
0.87844,2.264,5.3227
0.87501,2.2587,5.3074
0.87159,2.2534,5.2921
0.86818,2.248,5.277
0.86479,2.2427,5.2618
0.86141,2.2374,5.2468
0.85804,2.2321,5.2317
0.85469,2.2267,5.2167
0.85135,2.2214,5.2018
0.84802,2.2161,5.1869
0.84471,2.2108,5.1721
0.84141,2.2055,5.1573
0.83812,2.2002,5.1426
0.83484,2.1949,5.1279
0.83158,2.1895,5.1133
0.82833,2.1842,5.0987
0.82509,2.1789,5.0841
0.82187,2.1736,5.0696
0.81865,2.1683,5.0552
0.81546,2.163,5.0408
0.81227,2.1577,5.0264
0.80909,2.1524,5.0121
0.80593,2.1471,4.9978
0.80278,2.1418,4.9836
0.79964,2.1365,4.9694
0.79652,2.1313,4.9553
0.79341,2.126,4.9412
0.79031,2.1207,4.9272
0.78722,2.1154,4.9132
0.78414,2.1101,4.8992
0.78108,2.1048,4.8853
0.77802,2.0995,4.8714
0.77498,2.0942,4.8576
0.77195,2.089,4.8438
0.76894,2.0837,4.83
0.76593,2.0784,4.8163
0.76294,2.0731,4.8026
0.75996,2.0679,4.789
0.75699,2.0626,4.7754
0.75403,2.0573,4.7619
0.75108,2.052,4.7483
0.74814,2.0468,4.7349
0.74522,2.0415,4.7214
0.74231,2.0362,4.708
0.73941,2.031,4.6947
0.73652,2.0257,4.6814
0.73364,2.0204,4.6681
0.73077,2.0152,4.6548
0.72792,2.0099,4.6416
0.72507,2.0047,4.6285
0.72224,1.9994,4.6153
0.71941,1.9942,4.6022
0.7166,1.9889,4.5892
0.7138,1.9837,4.5761
0.71101,1.9784,4.5631
0.70823,1.9732,4.5502
0.70546,1.9679,4.5373
0.70271,1.9627,4.5244
0.69996,1.9574,4.5115
0.69723,1.9522,4.4987
0.6945,1.947,4.4859
0.69179,1.9418,4.4732
0.68908,1.9365,4.4605
0.68639,1.9313,4.4478
0.68371,1.9261,4.4351
0.68103,1.9209,4.4225
0.67837,1.9156,4.4099
0.67572,1.9104,4.3973
0.67308,1.9052,4.3848
0.67045,1.9,4.3723
0.66783,1.8948,4.3599
0.66522,1.8896,4.3474
0.66262,1.8844,4.335
0.66003,1.8792,4.3226
0.65745,1.874,4.3103
0.65488,1.8688,4.298
0.65232,1.8637,4.2857
0.64977,1.8585,4.2734
0.64723,1.8533,4.2612
0.6447,1.8481,4.249
0.64218,1.843,4.2369
0.63967,1.8378,4.2247
0.63717,1.8326,4.2126
0.63468,1.8275,4.2005
0.6322,1.8223,4.1885
0.62973,1.8172,4.1764
0.62727,1.812,4.1644
0.62482,1.8069,4.1525
0.62238,1.8018,4.1405
0.61995,1.7967,4.1286
