wl,n,k
0.93223,2.6874,4.8192
0.92923,2.6821,4.8094
0.92625,2.6768,4.7996
0.92327,2.6715,4.7899
0.9203,2.6662,4.7801
0.91734,2.6609,4.7704
0.91438,2.6555,4.7607
0.91144,2.6502,4.751
0.90851,2.6448,4.7414
0.90559,2.6394,4.7317
0.90267,2.634,4.7221
0.89977,2.6286,4.7125
0.89688,2.6232,4.7029
0.89399,2.6178,4.6933
0.89112,2.6123,4.6837
0.88825,2.6069,4.6742
0.88539,2.6014,4.6646
0.88254,2.596,4.6551
0.8797,2.5905,4.6456
0.87687,2.585,4.6361
0.87405,2.5795,4.6266
0.87124,2.574,4.6171
0.86844,2.5685,4.6076
0.86565,2.5629,4.5982
0.86286,2.5574,4.5887
0.86008,2.5518,4.5793
0.85732,2.5463,4.5699
0.85456,2.5407,4.5605
0.85181,2.5351,4.551
0.84907,2.5295,4.5417
0.84634,2.5239,4.5323
0.84362,2.5183,4.5229
0.8409,2.5127,4.5135
0.8382,2.5071,4.5041
0.8355,2.5015,4.4948
0.83281,2.4958,4.4854
0.83013,2.4902,4.4761
0.82746,2.4845,4.4668
0.8248,2.4788,4.4574
0.82215,2.4732,4.4481
0.8195,2.4675,4.4388
0.81687,2.4618,4.4295
0.81424,2.4561,4.4201
0.81162,2.4504,4.4108
0.80901,2.4447,4.4015
0.80641,2.439,4.3922
0.80381,2.4332,4.3829
0.80123,2.4275,4.3736
0.79865,2.4218,4.3643
0.79608,2.416,4.355
0.79352,2.4103,4.3457
0.79097,2.4046,4.3365
0.78842,2.3988,4.3272
0.78589,2.393,4.3179
0.78336,2.3873,4.3086
0.78084,2.3815,4.2993
0.77833,2.3757,4.29
0.77582,2.37,4.2807
0.77333,2.3642,4.2714
0.77084,2.3584,4.2621
0.76836,2.3526,4.2528
0.76589,2.3469,4.2435
0.76342,2.3411,4.2343
0.76097,2.3353,4.225
0.75852,2.3295,4.2157
0.75608,2.3237,4.2063
0.75365,2.3179,4.197
0.75122,2.3122,4.1877
0.74881,2.3064,4.1784
0.7464,2.3006,4.1691
0.744,2.2948,4.1598
0.7416,2.289,4.1505
0.73922,2.2832,4.1411
0.73684,2.2775,4.1318
0.73447,2.2717,4.1224
0.73211,2.2659,4.1131
0.72975,2.2602,4.1038
0.7274,2.2544,4.0944
0.72506,2.2486,4.085
0.72273,2.2429,4.0757
0.72041,2.2371,4.0663
0.71809,2.2314,4.0569
0.71578,2.2257,4.0475
0.71348,2.2199,4.0382
0.71118,2.2142,4.0288
0.70889,2.2085,4.0194
0.70661,2.2028,4.0099
0.70434,2.1971,4.0005
0.70207,2.1914,3.9911
0.69982,2.1857,3.9817
0.69756,2.18,3.9722
0.69532,2.1744,3.9628
0.69308,2.1687,3.9533
0.69085,2.1631,3.9439
0.68863,2.1574,3.9344
0.68642,2.1518,3.925
0.68421,2.1462,3.9155
0.68201,2.1406,3.906
0.67981,2.135,3.8965
0.67763,2.1294,3.887
0.67545,2.1239,3.8775
0.67327,2.1183,3.868
0.67111,2.1128,3.8584
0.66895,2.1073,3.8489
0.6668,2.1017,3.8394
0.66465,2.0963,3.8298
0.66251,2.0908,3.8202
0.66038,2.0853,3.8107
0.65826,2.0799,3.8011
0.65614,2.0745,3.7915
0.65403,2.0691,3.7819
0.65193,2.0637,3.7724
0.64983,2.0583,3.7627
0.64774,2.0529,3.7531
0.64565,2.0476,3.7435
0.64358,2.0423,3.7339
0.64151,2.037,3.7243
0.63944,2.0317,3.7146
0.63739,2.0265,3.705
0.63534,2.0212,3.6953
0.63329,2.016,3.6857
0.63125,2.0108,3.676
0.62922,2.0057,3.6663
0.6272,2.0005,3.6567
0.62518,1.9954,3.647
0.62317,1.9903,3.6373
0.62117,1.9852,3.6276
0.61917,1.9802,3.6179
0.61718,1.9752,3.6082
0.61519,1.9702,3.5984
0.61321,1.9652,3.5887
0.61124,1.9602,3.579
0.60927,1.9553,3.5693
0.60731,1.9504,3.5595
0.60536,1.9456,3.5498
0.60341,1.9407,3.54
0.60147,1.9359,3.5303
0.59954,1.9311,3.5205
0.59761,1.9264,3.5108
0.59568,1.9216,3.501
0.59377,1.9169,3.4912
0.59186,1.9122,3.4815
0.58995,1.9076,3.4717
0.58806,1.903,3.4619
0.58617,1.8984,3.4521
0.58428,1.8939,3.4424
0.5824,1.8893,3.4326
0.58053,1.8848,3.4228
0.57866,1.8804,3.413
0.5768,1.876,3.4032
0.57494,1.8716,3.3934
0.57309,1.8672,3.3836
0.57125,1.8629,3.3738
0.56941,1.8586,3.3641
0.56758,1.8543,3.3543
0.56575,1.8501,3.3445
0.56393,1.8459,3.3347
0.56212,1.8417,3.3249
0.56031,1.8376,3.3151
0.55851,1.8335,3.3053
0.55671,1.8295,3.2955
0.55492,1.8254,3.2857
0.55314,1.8214,3.2759
0.55136,1.8175,3.2662
0.54958,1.8136,3.2564
0.54781,1.8097,3.2466
0.54605,1.8059,3.2368
0.5443,1.8021,3.2271
0.54254,1.7983,3.2173
0.5408,1.7946,3.2075
0.53906,1.7909,3.1978
0.53733,1.7872,3.188
0.5356,1.7836,3.1783
0.53387,1.78,3.1685
0.53216,1.7765,3.1588
0.53045,1.773,3.1491
0.52874,1.7695,3.1394
0.52704,1.7661,3.1297
0.52534,1.7627,3.1199
0.52365,1.7594,3.1102
0.52197,1.7561,3.1006
0.52029,1.7528,3.0909
0.51861,1.7496,3.0812
0.51695,1.7464,3.0715
0.51528,1.7433,3.0619
0.51363,1.7402,3.0523
0.51197,1.7371,3.0426
0.51033,1.7341,3.033
0.50869,1.7311,3.0234
0.50705,1.7282,3.0138
